long_lat,n_OTUs
-100.9128_25.2464,9
-102.6003_22.1989,1
-105.8008_35.7739,2
-110.7856_32.4403,8
-112.1228_36.3686,10
-115.5392_35.9706,16
-120.5803_37.8489,19
-120.6578_40.6669,4
-122.2428_37.8706,15
-149.4736_68.13,18
-149.5992_68.6231,2
-158.1794_21.3525,60
-16.8872_32.7325,10
-17.2586_28.1269,9
-2.2086_53.1239,24
-2.9781_35.2192,6
-20.6339_64.2258,4
-3.7667_8.7625,10
-37.4833_-11.6647,2
-38.8819_-4.4769,30
-39.1928_-8.4558,34
-44.6706_-22.3978,1
-45.0836_-23.3167,4
-45.2167_-23.435,66
-45.4067_61.1622,5
-47.4783_-13.6367,1
-47.9275_-25.1008,58
-48.8522_-15.81,7
-48.9878_-24.0653,69
-5.0022_33.5214,33
-50.6792_67.0294,7
-51.5925_64.2017,1
-52.2092_4.5533,7
-54.4308_-25.6911,36
-6.695_32.0236,35
-60.0881_5.4356,2
-61.7447_16.1856,2
-63.5181_-18.1692,25
-64.6603_18.4044,2
-64.9344_-23.9186,55
-65.8167_18.3167,3
-66.3442_-17.5814,359
-66.9667_18.1447,4
-69.8975_-4.0086,1
-71.5514_-41.0831,1
-71.6342_42.5244,10
-72.8811_-49.3761,2
-74.0114_11.2842,28
-75.4667_6.705,1
-75.6167_20.0064,17
-78.1622_39.4728,9
-79.3881_43.1325,20
-8.8378_41.7128,1
-82.2175_8.7608,7
-82.4417_29.735,43
-83.705_22.5431,3
-84.5992_10.2211,8
-87.1933_21.21,20
-87.4775_20.1958,15
-89.1725_19.9583,14
-9.0006_38.4697,9
-9.6542_31.5136,35
-91.3106_16.1581,32
-96.4128_15.7167,403
-99.3681_19.2822,3
101.17_21.5778,544
102.3128_2.9819,6
103.2144_34.7636,13
103.2147_34.7472,24
103.3469_35.4736,46
103.7867_22.3214,5
104.0644_10.6272,1
104.7514_17.3936,9
105.5964_20.3489,40
11.4536_0.8197,7
114.005_-0.0586,30
115.4244_39.9572,12
116.1025_5.4058,4
116.2908_-34.3611,1
119.4425_30.3217,7
12.0117_36.7758,7
12.0714_37.9611,25
12.3308_56.0467,5
12.725_3.3533,17
121.2933_24.135,4
128.2189_26.7197,7
128.4314_42.0311,5
12_57.6603,1
13.0594_47.5608,6
13.475_49.0172,9
130.9981_-12.7014,505
131.4111_43.1281,17
131.8183_-13.8417,3
132.9458_43.3764,16
134.8114_48.305,14
14.6569_37.9069,6
14.7917_-22.6881,3
141.1706_39.8842,4
142.6042_43.2883,5
145.4364_-16.2411,6
145.5994_-17.0231,3
145.8331_-37.4881,7
146.12_-19.0192,27
146.65_-43.0928,3
147.3486_-9.4447,2
15.3214_-24.7428,16
151.7953_60.8442,11
158.9419_-54.4958,1
16.17_48.25,3
16.5319_43.1444,11
177.8722_64.6967,1
18.3014_57.6256,14
18.4258_-33.9811,8
18.8386_42.3958,5
18.8642_69.4839,1
2.1861_9.2639,57
21.5708_69.8906,2
22.2878_57.6286,2
22.6108_-33.9786,141
23.9175_63.4114,1
24.9281_35.1811,21
25.3008_0.2961,50
25.4989_-18.0717,35
25.7433_45.9022,1
26.205_-33.4892,23
26.6647_58.3608,80
27.6622_-11.4794,53
28.7553_-2.3111,10
29.0514_41.1067,21
29.4772_-20.0186,10
30.0919_0.7992,44
30.1136_-0.3733,9
30.1811_-2.3694,41
30.6786_-1.7019,23
31.6208_-18.1778,30
32.4042_34.7761,128
32.4819_-28.2639,20
32.9808_56.4553,6
33.8194_27.1711,5
34.7419_30.6097,22
35.1119_31.3444,15
35.355_-3.0753,30
35.3858_-1.6025,334
37.2881_-0.1675,3
37.3586_-3.3619,64
37.4122_-6.9269,189
37.5714_-0.0508,11
38.2783_-5.3281,109
39.4503_40.2353,30
39.4569_51.9106,8
4.4925_50.7994,2
4.6611_8.4503,38
40.8658_-2.3025,13
41.82_41.2317,3
42.7172_43.0797,3
42.7325_43.0364,1
45.3642_-22.5664,7
46.8686_-25.0619,3
46.99_35.4283,24
47.31_38.34,31
47.9169_-18.9161,4
49.3017_33.1511,16
5.8944_49.6236,2
51.4825_30.4003,17
51.5733_30.7322,33
52.8242_36.2119,37
52.9008_36.3039,26
55.6644_37.3539,19
55.7058_-21.3522,1
58.8981_22.9267,24
63.3_-19.7181,32
7.55_60.6089,4
72.2061_35.5586,35
73.4047_33.9294,316
74.4842_42.5617,21
75.0178_13.5222,16
75.4217_41.9128,17
77.1153_32.8011,30
77.7653_33.505,3
78.1456_30.45,5
79.2278_29.4564,26
8.2675_50.1411,39
8.4508_46.8958,3
8.5861_45.7694,25
80.4236_6.4178,9
83.0367_51.1244,74
89.3406_26.6589,10
89.8681_27.5003,43
9.3358_0.5767,7
91.1031_26.4814,15
91.6058_25.3569,9
92.775_11.8908,10
98.4397_18.51,2
99.1758_20.0197,2
99.9906_9.4725,8
